City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Balclutha,NZ,-46.2339,169.75,39.6,85,11,3.96,few clouds
197,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,78,40,16.11,scattered clouds
198,Chuy,UY,-33.6971,-53.4616,67.06,65,2,7.99,clear sky
199,Harper,LR,4.375,-7.7169,76.15,89,100,7.74,light rain
200,Kailua,US,21.4022,-157.7394,77.02,73,2,13.91,clear sky
201,Gumdag,TM,39.2061,54.5906,71.67,32,0,9.69,clear sky
202,Medicine Hat,CA,50.0501,-110.6683,74.77,28,75,5.01,broken clouds
203,Kloulklubed,PW,7.0419,134.2556,83.52,77,76,8.12,broken clouds
204,Abrau-Dyurso,RU,44.69,37.59,49.48,73,17,8.88,few clouds
205,Nisia Floresta,BR,-6.0911,-35.2086,84.58,55,69,18.1,broken clouds
206,Evensk,RU,61.95,159.2333,39.07,53,100,3.24,overcast clouds
